Designator,Mid X,Mid Y,Rotation,Layer
CARDINAL_DOWN1,83.975,-71.75,90.0,top
CARDINAL_LEFT1,83.95,-62.75,90.0,top
CARDINAL_RIGHT1,83.975,-80.75,90.0,top
CARDINAL_UP1,83.975,-89.75,90.0,top
DPAD_EAST1,114.475,-81.0,270.0,top
DPAD_NORTH1,114.5,-90.25,270.0,top
DPAD_SOUTH1,114.475,-72.0,270.0,top
DPAD_WEST1,114.475,-63.0,270.0,top
JOYSTICK_LEFT1,83.5,-42.5,90.0,top
JOYSTICK_RIGHT1,114.475,-42.75,270.0,top
OPERATORS_MINUS1,83.975,-53.75,90.0,top
OPERATORS_PLUS1,114.475,-54.0,270.0,top
U3,99.0,-81.0,180.0,top
